230進んで高さ120でジャンプしてから520進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 120 ACTION move VALUE 520
175進んで 150ジャンプ、そのあと485進む	REASON hole ACTION move VALUE 175 ACTION jump VALUE 150 ACTION move VALUE 485
275進んで120ジャンプして415進んで	REASON stone ACTION move VALUE 275 ACTION jump VALUE 120 ACTION move VALUE 415
130進んで120飛んで140進んで120飛んで375進む	REASON stone ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 375
220進んで150ジャンプ、最後に430進む	REASON hole ACTION move VALUE 220 ACTION jump VALUE 150 ACTION move VALUE 430
265前進し120ジャンプしてから435前進	REASON stone ACTION move VALUE 265 ACTION jump VALUE 120 ACTION move VALUE 435
100進んで120ジャンプ、160進んで120ジャンプ、340前進	REASON stone ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 340
165進んで150ジャンプ、そして505進む	REASON hole ACTION move VALUE 165 ACTION jump VALUE 150 ACTION move VALUE 505
285歩進んで120ジャンプして415歩進む	REASON stone ACTION move VALUE 285 ACTION jump VALUE 120 ACTION move VALUE 415
120進んで120ジャンプ、160進んで120ジャンプ、350進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 350
210進んで150ジャンプして440進む	REASON hole ACTION move VALUE 210 ACTION jump VALUE 150 ACTION move VALUE 440
305進んで120ジャンプして395進んで	REASON stone ACTION move VALUE 305 ACTION jump VALUE 120 ACTION move VALUE 395
135前進して120ジャンプ、165前進して120ジャンプ、325前進	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120 ACTION move VALUE 325
150進んで150ジャンプ、490進む	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150 ACTION move VALUE 490
315進んで120ジャンプ、385進む	REASON stone ACTION move VALUE 315 ACTION jump VALUE 120 ACTION move VALUE 385
140進んで120ジャンプ、130進んで120ジャンプ、335進む	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 335
220進んで150ジャンプ、430進む	REASON hole ACTION move VALUE 220 ACTION jump VALUE 150 ACTION move VALUE 430
325歩進んで120の高さで跳んで375歩進む	REASON stone ACTION move VALUE 325 ACTION jump VALUE 120 ACTION move VALUE 375
145歩進んで120跳び、135歩進んで120跳び、315歩進む	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 315
240進んで150ジャンプ、410進む	REASON hole ACTION move VALUE 240 ACTION jump VALUE 150 ACTION move VALUE 410
335進んで120ジャンプ、365前進	REASON stone ACTION move VALUE 335 ACTION jump VALUE 120 ACTION move VALUE 365
155進んで120ジャンプ、145進んで120ジャンプ、315進む	REASON stone ACTION move VALUE 155 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 315
250進んで150ジャンプ、400進む	REASON hole ACTION move VALUE 250 ACTION jump VALUE 150 ACTION move VALUE 400
345進んで120ジャンプしてから355進む	REASON stone ACTION move VALUE 345 ACTION jump VALUE 120 ACTION move VALUE 355
115歩進んで120ジャンプ、115歩進んで120ジャンプ、395歩進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 395
140進んで150ジャンプ、520進む	REASON hole ACTION move VALUE 140 ACTION jump VALUE 150 ACTION move VALUE 520
200進んで120ジャンプして500進む	REASON stone ACTION move VALUE 200 ACTION jump VALUE 120 ACTION move VALUE 500
100進んで120ジャンプ、100進んで120ジャンプ、300進む	REASON stone ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 300
150進んで150ジャンプして450進む	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150 ACTION move VALUE 450
250進んで120ジャンプして400進む	REASON stone ACTION move VALUE 250 ACTION jump VALUE 120 ACTION move VALUE 400
120進んで120ジャンプ、120進んで120ジャンプ、350進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 350
180進んで150ジャンプして480進む	REASON hole ACTION move VALUE 180 ACTION jump VALUE 150 ACTION move VALUE 480
岩を飛び越えて	REASON stone ACTION jump VALUE 50
岩をジャンプして進む	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
進んでから岩を飛び越える	REASON stone ACTION move VALUE 50 ACTION jump VALUE 50
岩を避けて前進する	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
目の前の石を飛び越える	REASON stone ACTION jump VALUE 50
石があったらジャンプする	REASON stone ACTION jump VALUE 50
岩を大ジャンプで越える	REASON stone ACTION jump VALUE 50
ちょっと進んで岩を跳ぶ	REASON stone ACTION move VALUE 50 ACTION jump VALUE 50
ジャンプして岩を越えて歩く	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
岩をジャンプして、さらにジャンプ	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
目の前の障害物をジャンプ	REASON stone ACTION jump VALUE 50
石を飛び越えて進んで	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
岩を飛び越えてから歩いて	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
岩をジャンプして進んで	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
ジャンプして石を避けて	REASON stone ACTION jump VALUE 50
岩を飛び越える	REASON stone ACTION jump VALUE 50
進んで岩を飛び越えて進んで	REASON stone ACTION move VALUE 50 ACTION jump VALUE 50 ACTION move VALUE 50
石をジャンプして進む	REASON stone ACTION jump VALUE 50 ACTION move VALUE 50
少し進んでから岩を跳ぶ	REASON stone ACTION move VALUE 50 ACTION jump VALUE 50
ジャンプで岩を越える	REASON stone ACTION jump VALUE 50
岩を連続でジャンプして	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
2つ岩があるからジャンプして	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
岩を2回ジャンプする	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
連続する岩を飛び越えて	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
岩を跳んで、また岩を跳ぶ	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
2本の岩をジャンプで超える	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
石が2個あるからジャンプして	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
連続の石をジャンプで避ける	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
岩を1回跳んで、もう1回跳ぶ	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
2つ並んだ岩を飛び越える	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50
岩を2回跳び越えて進む	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50 ACTION move VALUE 50
進んでから岩を2回ジャンプ	REASON stone ACTION move VALUE 50 ACTION jump VALUE 50 ACTION jump VALUE 50
2個の石を飛び越えて進む	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50 ACTION move VALUE 50
岩を2回飛び越えてから歩く	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50 ACTION move VALUE 50
ジャンプ、ジャンプして進む	REASON stone ACTION jump VALUE 50 ACTION jump VALUE 50 ACTION move VALUE 50
大穴があるからジャンプする	REASON hole ACTION jump VALUE 50
大きな穴を飛び越えて	REASON hole ACTION jump VALUE 50
穴をジャンプして進む	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
進んでから大穴を飛び越える	REASON hole ACTION move VALUE 50 ACTION jump VALUE 50
穴を避けて前進する	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
目の前の穴を飛び越える	REASON hole ACTION jump VALUE 50
穴があったらジャンプする	REASON hole ACTION jump VALUE 50
大穴を大ジャンプで越える	REASON hole ACTION jump VALUE 50
ちょっと進んで穴を跳ぶ	REASON hole ACTION move VALUE 50 ACTION jump VALUE 50
ジャンプして穴を越えて歩く	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
深い穴をジャンプして越える	REASON hole ACTION jump VALUE 50
目の前の大穴をジャンプ	REASON hole ACTION jump VALUE 50
穴を飛び越えて進んで	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
大穴を飛び越えてから歩いて	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
穴をジャンプして進んで	REASON hole ACTION jump VALUE 50 ACTION move VALUE 50
ジャンプして穴を避けて	REASON hole ACTION jump VALUE 50
230進んで岩を飛び越えてから520進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 50 ACTION move VALUE 520
130進んでジャンプ、150進んでジャンプ、最後に370進んで	REASON stone ACTION move VALUE 130 ACTION jump VALUE 50 ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 370
200進んで大穴をジャンプしてから450進んで	REASON hole ACTION move VALUE 200 ACTION jump VALUE 50 ACTION move VALUE 450
300進んで岩を飛び越えて400進んで	REASON stone ACTION move VALUE 300 ACTION jump VALUE 50 ACTION move VALUE 400
100歩進んでジャンプして200歩進んでジャンプして最後に200歩進んで	REASON stone ACTION move VALUE 100 ACTION jump VALUE 50 ACTION move VALUE 200 ACTION jump VALUE 50 ACTION move VALUE 200
150進んで大穴を飛び越えて500進んで	REASON hole ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 500
250前進して岩を大ジャンプして445前進する	REASON stone ACTION move VALUE 250 ACTION jump VALUE 50 ACTION move VALUE 445
120進んで跳んで、160進んで跳んで、320進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 320
180進んで大穴をジャンプして470進む	REASON hole ACTION move VALUE 180 ACTION jump VALUE 50 ACTION move VALUE 470
220歩進んでからジャンプして500歩進む	REASON stone ACTION move VALUE 220 ACTION jump VALUE 50 ACTION move VALUE 500
140進んで跳ねて、140進んで跳ねて、末尾に350進んで	REASON stone ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 350
210前進して大穴を跳び越えて440前進	REASON hole ACTION move VALUE 210 ACTION jump VALUE 50 ACTION move VALUE 440
240進んで岩を跳んで510進む	REASON stone ACTION move VALUE 240 ACTION jump VALUE 50 ACTION move VALUE 510
110進んでジャンプ、170進んでジャンプ、390進む	REASON stone ACTION move VALUE 110 ACTION jump VALUE 50 ACTION move VALUE 170 ACTION jump VALUE 50 ACTION move VALUE 390
190進んで大穴をジャンプして460進む	REASON hole ACTION move VALUE 190 ACTION jump VALUE 50 ACTION move VALUE 460
260歩進んで岩をジャンプし480歩進む	REASON stone ACTION move VALUE 260 ACTION jump VALUE 50 ACTION move VALUE 480
125進んで跳んで、145進んで跳んで、365進む	REASON stone ACTION move VALUE 125 ACTION jump VALUE 50 ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 365
170進んで大穴をジャンプ、そのあと490進む	REASON hole ACTION move VALUE 170 ACTION jump VALUE 50 ACTION move VALUE 490
280進んで岩をジャンプして420進んで	REASON stone ACTION move VALUE 280 ACTION jump VALUE 50 ACTION move VALUE 420
135進んで跳んで135進んで跳んで380進む	REASON stone ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 380
225進んで穴をジャンプ、最後に425進む	REASON hole ACTION move VALUE 225 ACTION jump VALUE 50 ACTION move VALUE 425
270前進し岩をジャンプしてから430前進	REASON stone ACTION move VALUE 270 ACTION jump VALUE 50 ACTION move VALUE 430
105進んでジャンプ、155進んでジャンプ、345前進	REASON stone ACTION move VALUE 105 ACTION jump VALUE 50 ACTION move VALUE 155 ACTION jump VALUE 50 ACTION move VALUE 345
160進んで穴をジャンプ、そして510進む	REASON hole ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 510
290歩進んで岩をジャンプして410歩進む	REASON stone ACTION move VALUE 290 ACTION jump VALUE 50 ACTION move VALUE 410
115進んでジャンプ、165進んでジャンプ、355進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 50 ACTION move VALUE 165 ACTION jump VALUE 50 ACTION move VALUE 355
205進んで大穴ジャンプして445進む	REASON hole ACTION move VALUE 205 ACTION jump VALUE 50 ACTION move VALUE 445
310進んで岩をジャンプして390進んで	REASON stone ACTION move VALUE 310 ACTION jump VALUE 50 ACTION move VALUE 390
140前進してジャンプ、160前進してジャンプ、330前進	REASON stone ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 330
155進んで大穴をジャンプ、485進む	REASON hole ACTION move VALUE 155 ACTION jump VALUE 50 ACTION move VALUE 485
320進んで石をジャンプ、380進む	REASON stone ACTION move VALUE 320 ACTION jump VALUE 50 ACTION move VALUE 380
145進んでジャンプ、125進んでジャンプ、340進む	REASON stone ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 125 ACTION jump VALUE 50 ACTION move VALUE 340
215進んで穴をジャンプ、435進む	REASON hole ACTION move VALUE 215 ACTION jump VALUE 50 ACTION move VALUE 435
330歩進んで岩を跳んで370歩進む	REASON stone ACTION move VALUE 330 ACTION jump VALUE 50 ACTION move VALUE 370
150歩進んで跳び、130歩進んで跳び、320歩進む	REASON stone ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 130 ACTION jump VALUE 50 ACTION move VALUE 320
235進んで大穴をジャンプ、415進む	REASON hole ACTION move VALUE 235 ACTION jump VALUE 50 ACTION move VALUE 415
340進んで石をジャンプ、360前進	REASON stone ACTION move VALUE 340 ACTION jump VALUE 50 ACTION move VALUE 360
160進んでジャンプ、140進んでジャンプ、310進む	REASON stone ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 310
245進んで大穴ジャンプ、405進む	REASON hole ACTION move VALUE 245 ACTION jump VALUE 50 ACTION move VALUE 405
350進んで岩をジャンプしてから350進む	REASON stone ACTION move VALUE 350 ACTION jump VALUE 50 ACTION move VALUE 350
110歩進んでジャンプ、110歩進んでジャンプ、400歩進む	REASON stone ACTION move VALUE 110 ACTION jump VALUE 50 ACTION move VALUE 110 ACTION jump VALUE 50 ACTION move VALUE 400
145進んで大穴ジャンプ、515進む	REASON hole ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 515
235進んで岩をジャンプしてから515進んで	REASON stone ACTION move VALUE 235 ACTION jump VALUE 50 ACTION move VALUE 515
135進んでジャンプ、145進んでジャンプ、最後に365進んで	REASON stone ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 365
195進んで穴をジャンプしてから455進んで	REASON hole ACTION move VALUE 195 ACTION jump VALUE 50 ACTION move VALUE 455
305進んで岩を飛び越えて395進んで	REASON stone ACTION move VALUE 305 ACTION jump VALUE 50 ACTION move VALUE 395
105歩進んでジャンプして205歩進んでジャンプして最後に195歩進んで	REASON stone ACTION move VALUE 105 ACTION jump VALUE 50 ACTION move VALUE 205 ACTION jump VALUE 50 ACTION move VALUE 195
155進んで大穴を飛び越えて495進んで	REASON hole ACTION move VALUE 155 ACTION jump VALUE 50 ACTION move VALUE 495
255前進して岩を大ジャンプして445前進する	REASON stone ACTION move VALUE 255 ACTION jump VALUE 50 ACTION move VALUE 445
125進んで跳んで、155進んで跳んで、325進む	REASON stone ACTION move VALUE 125 ACTION jump VALUE 50 ACTION move VALUE 155 ACTION jump VALUE 50 ACTION move VALUE 325
185進んで大穴をジャンプをしてから465進む	REASON hole ACTION move VALUE 185 ACTION jump VALUE 50 ACTION move VALUE 465
225歩進んでから岩をジャンプして495歩進む	REASON stone ACTION move VALUE 225 ACTION jump VALUE 50 ACTION move VALUE 495
145進んで跳ねて、135進んで跳ねて、末尾に355進んで	REASON stone ACTION move VALUE 145 ACTION jump VALUE 50 ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 355
215前進して穴を跳び越えて435前進	REASON hole ACTION move VALUE 215 ACTION jump VALUE 50 ACTION move VALUE 435
245進んで岩を跳んで505進む	REASON stone ACTION move VALUE 245 ACTION jump VALUE 50 ACTION move VALUE 505
115進んでジャンプ、165進んでジャンプ、385進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 50 ACTION move VALUE 165 ACTION jump VALUE 50 ACTION move VALUE 385
195進んで穴をジャンプして455進む	REASON hole ACTION move VALUE 195 ACTION jump VALUE 50 ACTION move VALUE 455
265歩進んで岩をジャンプし475歩進む	REASON stone ACTION move VALUE 265 ACTION jump VALUE 50 ACTION move VALUE 475
120進んでジャンプ、150進んでジャンプ、360進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 360
175進んで大穴をジャンプ、そのあと485進む	REASON hole ACTION move VALUE 175 ACTION jump VALUE 50 ACTION move VALUE 485
275進んで岩をジャンプして415進んで	REASON stone ACTION move VALUE 275 ACTION jump VALUE 50 ACTION move VALUE 415
130進んで跳んで140進んで跳んで375進む	REASON stone ACTION move VALUE 130 ACTION jump VALUE 50 ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 375
220進んで大穴をジャンプ、最後に430進む	REASON hole ACTION move VALUE 220 ACTION jump VALUE 50 ACTION move VALUE 430
265前進し岩をジャンプしてから435前進	REASON stone ACTION move VALUE 265 ACTION jump VALUE 50 ACTION move VALUE 435
100進んでジャンプ、160進んでジャンプ、340前進	REASON stone ACTION move VALUE 100 ACTION jump VALUE 50 ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 340
165進んで大穴をジャンプ、そして505進む	REASON hole ACTION move VALUE 165 ACTION jump VALUE 50 ACTION move VALUE 505
285歩進んで岩をジャンプして415歩進む	REASON stone ACTION move VALUE 285 ACTION jump VALUE 50 ACTION move VALUE 415
120進んでジャンプ、160進んでジャンプ、350進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 160 ACTION jump VALUE 50 ACTION move VALUE 350
210進んで穴をジャンプして440進む	REASON hole ACTION move VALUE 210 ACTION jump VALUE 50 ACTION move VALUE 440
305進んで岩をジャンプして395進んで	REASON stone ACTION move VALUE 305 ACTION jump VALUE 50 ACTION move VALUE 395
135前進してジャンプ、165前進してジャンプ、325前進	REASON stone ACTION move VALUE 135 ACTION jump VALUE 50 ACTION move VALUE 165 ACTION jump VALUE 50 ACTION move VALUE 325
150進んで穴をジャンプ、490進む	REASON hole ACTION move VALUE 150 ACTION jump VALUE 50 ACTION move VALUE 490
315進んで岩をジャンプ、385進む	REASON stone ACTION move VALUE 315 ACTION jump VALUE 50 ACTION move VALUE 385
140進んでジャンプ、130進んでジャンプ、335進む	REASON stone ACTION move VALUE 140 ACTION jump VALUE 50 ACTION move VALUE 130 ACTION jump VALUE 50 ACTION move VALUE 335
220進んで大穴をジャンプ、430進む	REASON hole ACTION move VALUE 220 ACTION jump VALUE 50 ACTION move VALUE 430
