stage1 岩の手前まで230進んで90ジャンプして406歩ゴールまで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 90 ACTION move VALUE 406
stage3 203進んで高さ105でジャンプして260進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 105 ACTION move VALUE 260
stage2 130移動して174ジャンプ、159移動して178ジャンプ、264移動	REASON stone ACTION move VALUE 130 ACTION jump VALUE 174 ACTION move VALUE 159 ACTION jump VALUE 178 ACTION move VALUE 264
stage3 202進んで2でしっかりジャンプしてから443進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 2 ACTION move VALUE 443
stage3 202移動して29ジャンプ、着地後451移動	REASON hole ACTION move VALUE 202 ACTION jump VALUE 29 ACTION move VALUE 451
stage2 まず140進んで94ジャンプ、次に45進んで11ジャンプ、350進んでゴール	REASON stone ACTION move VALUE 140 ACTION jump VALUE 94 ACTION move VALUE 45 ACTION jump VALUE 11 ACTION move VALUE 350
stage2 1つ目の岩まで112進んで120でジャンプ、2つ目まで46進んで127でジャンプして350進んで	REASON stone ACTION move VALUE 112 ACTION jump VALUE 120 ACTION move VALUE 46 ACTION jump VALUE 127 ACTION move VALUE 350
stage2 112歩進んで高さ165でジャンプ、75進んで159でジャンプして100進む	REASON stone ACTION move VALUE 112 ACTION jump VALUE 165 ACTION move VALUE 75 ACTION jump VALUE 159 ACTION move VALUE 100
stage3 206歩進んで4高さで穴を越えて415歩ゴールへ	REASON hole ACTION move VALUE 206 ACTION jump VALUE 4 ACTION move VALUE 415
stage3 193進んで307進む	REASON hole ACTION move VALUE 193 ACTION move VALUE 307
stage1 165進んで125ジャンプして332進む	REASON stone ACTION move VALUE 165 ACTION jump VALUE 125 ACTION move VALUE 332
stage2 走ってジャンプを2回して進んで	REASON stone ACTION move VALUE 219 ACTION jump VALUE 7 ACTION move VALUE 141 ACTION jump VALUE 15 ACTION move VALUE 264
stage2 112歩進んで144で飛んで、81歩進んで162で飛んで296歩すすむ	REASON stone ACTION move VALUE 112 ACTION jump VALUE 144 ACTION move VALUE 81 ACTION jump VALUE 162 ACTION move VALUE 296
stage1 走ってジャンプして	REASON stone ACTION move VALUE 84 ACTION jump VALUE 37 ACTION move VALUE 208
stage2 141進んで68の力でジャンプ、37進んで169の力でジャンプして318進んで	REASON stone ACTION move VALUE 141 ACTION jump VALUE 68 ACTION move VALUE 37 ACTION jump VALUE 169 ACTION move VALUE 318
stage2 198移動して101ジャンプ、67移動して127ジャンプ、224移動	REASON stone ACTION move VALUE 198 ACTION jump VALUE 101 ACTION move VALUE 67 ACTION jump VALUE 127 ACTION move VALUE 224
stage3 183進んで352進む	REASON hole ACTION move VALUE 183 ACTION move VALUE 352
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 61 ACTION jump VALUE 102 ACTION move VALUE 117
stage1 岩を越えてゴールまで進んで	REASON stone ACTION move VALUE 340 ACTION jump VALUE 15 ACTION move VALUE 123
stage3 207歩進んで125高さで穴を越えて470歩ゴールへ	REASON hole ACTION move VALUE 207 ACTION jump VALUE 125 ACTION move VALUE 470
stage3 206進んで高さ61でジャンプして374進む	REASON hole ACTION move VALUE 206 ACTION jump VALUE 61 ACTION move VALUE 374
stage1 高くジャンプして石を越えてゴール	REASON stone ACTION move VALUE 58 ACTION jump VALUE 29 ACTION move VALUE 282
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 250 ACTION jump VALUE 4 ACTION move VALUE 94
stage2 2つの石をジャンプして越えて	REASON stone ACTION move VALUE 67 ACTION jump VALUE 6 ACTION move VALUE 125 ACTION jump VALUE 26 ACTION move VALUE 167
stage1 まず234進んで、152でジャンプして、その後392進んで	REASON stone ACTION move VALUE 234 ACTION jump VALUE 152 ACTION move VALUE 392
stage3 205進んで105進む	REASON hole ACTION move VALUE 205 ACTION move VALUE 105
stage1 237進んで95の高さでジャンプして407歩すすむ	REASON stone ACTION move VALUE 237 ACTION jump VALUE 95 ACTION move VALUE 407
stage1 走ってジャンプして	REASON stone ACTION move VALUE 68 ACTION jump VALUE 18 ACTION move VALUE 178
stage3 穴を越えてゴールへ	REASON hole ACTION move VALUE 50 ACTION jump VALUE 2 ACTION move VALUE 114
stage1 227歩走って9高さで跳んで376歩進む	REASON stone ACTION move VALUE 227 ACTION jump VALUE 9 ACTION move VALUE 376
stage3 97歩走って144でとんで334歩すすむ	REASON hole ACTION move VALUE 97 ACTION jump VALUE 144 ACTION move VALUE 334
stage3 穴をジャンプして越えて	REASON hole ACTION move VALUE 54 ACTION jump VALUE 28 ACTION move VALUE 136
stage3 206歩進んで4高さで穴を越えて464歩ゴールへ	REASON hole ACTION move VALUE 206 ACTION jump VALUE 4 ACTION move VALUE 464
stage3 205進んで109でしっかりジャンプしてから423進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 109 ACTION move VALUE 423
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 58 ACTION jump VALUE 61 ACTION move VALUE 160
stage2 148歩走って113高さで跳んで48歩進んで70高さで跳んで301歩ゴール	REASON stone ACTION move VALUE 148 ACTION jump VALUE 113 ACTION move VALUE 48 ACTION jump VALUE 70 ACTION move VALUE 301
stage2 1つ目の岩まで140進んで159でジャンプ、2つ目まで20進んで85でジャンプして201進んで	REASON stone ACTION move VALUE 140 ACTION jump VALUE 159 ACTION move VALUE 20 ACTION jump VALUE 85 ACTION move VALUE 201
stage1 242歩走って高さ99でとんで389歩進む	REASON stone ACTION move VALUE 242 ACTION jump VALUE 99 ACTION move VALUE 389
stage1 228進んで107の高さでジャンプして369歩すすむ	REASON stone ACTION move VALUE 228 ACTION jump VALUE 107 ACTION move VALUE 369
stage1 225進んで43の高さでジャンプして346歩	REASON stone ACTION move VALUE 225 ACTION jump VALUE 43 ACTION move VALUE 346
stage1 少し走ってから跳んで	REASON stone ACTION move VALUE 320 ACTION jump VALUE 13 ACTION move VALUE 105
stage3 207進んで158進む	REASON hole ACTION move VALUE 207 ACTION move VALUE 158
stage1 228歩進んで高さ133でジャンプして450進む	REASON stone ACTION move VALUE 228 ACTION jump VALUE 133 ACTION move VALUE 450
stage2 走ってジャンプを2回して進んで	REASON stone ACTION move VALUE 65 ACTION jump VALUE 11 ACTION move VALUE 195 ACTION jump VALUE 40 ACTION move VALUE 61
stage2 126歩進んで高さ40でジャンプ、117進んで163でジャンプして211進む	REASON stone ACTION move VALUE 126 ACTION jump VALUE 40 ACTION move VALUE 117 ACTION jump VALUE 163 ACTION move VALUE 211
stage1 スタートから221進んで高さ135でジャンプして457進んでゴール	REASON stone ACTION move VALUE 221 ACTION jump VALUE 135 ACTION move VALUE 457
stage2 石を2個越えてゴールまで	REASON stone ACTION move VALUE 177 ACTION jump VALUE 34 ACTION move VALUE 68 ACTION jump VALUE 16 ACTION move VALUE 99
stage2 149移動して129ジャンプ、135移動して72ジャンプ、383移動	REASON stone ACTION move VALUE 149 ACTION jump VALUE 129 ACTION move VALUE 135 ACTION jump VALUE 72 ACTION move VALUE 383
stage3 200進んで326進む	REASON hole ACTION move VALUE 200 ACTION move VALUE 326
stage1 240進んで高さ132でジャンプしてから399進んで	REASON stone ACTION move VALUE 240 ACTION jump VALUE 132 ACTION move VALUE 399
stage1 223進んで110の高さでジャンプして408歩すすむ	REASON stone ACTION move VALUE 223 ACTION jump VALUE 110 ACTION move VALUE 408
stage2 1つ目の岩まで129進んで180でジャンプ、2つ目まで44進んで4でジャンプして355進んで	REASON stone ACTION move VALUE 129 ACTION jump VALUE 180 ACTION move VALUE 44 ACTION jump VALUE 4 ACTION move VALUE 355
stage3 206歩走って92でとんで430歩すすむ	REASON hole ACTION move VALUE 206 ACTION jump VALUE 92 ACTION move VALUE 430
stage1 247歩進んで高さ108でジャンプして361進む	REASON stone ACTION move VALUE 247 ACTION jump VALUE 108 ACTION move VALUE 361
stage3 スタートから202進んで高さ107でジャンプして434進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 107 ACTION move VALUE 434
stage1 269進んで107ジャンプして446進む	REASON stone ACTION move VALUE 269 ACTION jump VALUE 107 ACTION move VALUE 446
stage1 360進んで134ジャンプして445進む	REASON stone ACTION move VALUE 360 ACTION jump VALUE 134 ACTION move VALUE 445
stage3 203歩進んで146の高さで穴を跳び越えて452歩進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 146 ACTION move VALUE 452
stage1 走ってジャンプして	REASON stone ACTION move VALUE 69 ACTION jump VALUE 15 ACTION move VALUE 80
stage1 岩を越えてゴールまで進んで	REASON stone ACTION move VALUE 318 ACTION jump VALUE 8 ACTION move VALUE 192
stage1 139進んで77ジャンプして351進む	REASON stone ACTION move VALUE 139 ACTION jump VALUE 77 ACTION move VALUE 351
stage3 208進んで高さ175でジャンプして236進む	REASON hole ACTION move VALUE 208 ACTION jump VALUE 175 ACTION move VALUE 236
stage3 201歩走って97でとんで460歩すすむ	REASON hole ACTION move VALUE 201 ACTION jump VALUE 97 ACTION move VALUE 460
stage2 225歩進んで高さ74でジャンプ、94進んで84でジャンプして301進む	REASON stone ACTION move VALUE 225 ACTION jump VALUE 74 ACTION move VALUE 94 ACTION jump VALUE 84 ACTION move VALUE 301
stage2 119移動して125ジャンプ、39移動して12ジャンプ、100移動	REASON stone ACTION move VALUE 119 ACTION jump VALUE 125 ACTION move VALUE 39 ACTION jump VALUE 12 ACTION move VALUE 100
stage2 まず102進んで113の高さでジャンプ、次に93進んで162でジャンプし291進んでゴール	REASON stone ACTION move VALUE 102 ACTION jump VALUE 113 ACTION move VALUE 93 ACTION jump VALUE 162 ACTION move VALUE 291
stage3 穴の手前まで208進んで51の高さでジャンプして向こうまで449進んで	REASON hole ACTION move VALUE 208 ACTION jump VALUE 51 ACTION move VALUE 449
stage2 114移動して34ジャンプ、35移動して152ジャンプ、135移動	REASON stone ACTION move VALUE 114 ACTION jump VALUE 34 ACTION move VALUE 35 ACTION jump VALUE 152 ACTION move VALUE 135
stage3 穴の手前まで204進んで39の高さでジャンプして向こうまで442進んで	REASON hole ACTION move VALUE 204 ACTION jump VALUE 39 ACTION move VALUE 442
stage3 205進んで134でしっかりジャンプしてから400進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 134 ACTION move VALUE 400
stage1 スタートから245進んで高さ158でジャンプして363進んでゴール	REASON stone ACTION move VALUE 245 ACTION jump VALUE 158 ACTION move VALUE 363
stage2 1つ目の岩まで110進んで147でジャンプ、2つ目まで49進んで112でジャンプして275進んで	REASON stone ACTION move VALUE 110 ACTION jump VALUE 147 ACTION move VALUE 49 ACTION jump VALUE 112 ACTION move VALUE 275
stage3 293進んで83ジャンプして102進む	REASON hole ACTION move VALUE 293 ACTION jump VALUE 83 ACTION move VALUE 102
stage2 135歩走って94高さで跳んで55歩進んで159高さで跳んで311歩ゴール	REASON stone ACTION move VALUE 135 ACTION jump VALUE 94 ACTION move VALUE 55 ACTION jump VALUE 159 ACTION move VALUE 311
stage3 スタートから207進んで高さ37でジャンプして452進んでゴール	REASON hole ACTION move VALUE 207 ACTION jump VALUE 37 ACTION move VALUE 452
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 67 ACTION jump VALUE 28 ACTION move VALUE 41
stage3 204歩走って91でとんで404歩すすむ	REASON hole ACTION move VALUE 204 ACTION jump VALUE 91 ACTION move VALUE 404
stage3 スタートから205進んで高さ34でジャンプして388進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 34 ACTION move VALUE 388
stage2 最初に127進んで50ジャンプ、次62進んで140ジャンプ、最後271進む	REASON stone ACTION move VALUE 127 ACTION jump VALUE 50 ACTION move VALUE 62 ACTION jump VALUE 140 ACTION move VALUE 271
stage3 201進んで111ジャンプしてから462進んで	REASON hole ACTION move VALUE 201 ACTION jump VALUE 111 ACTION move VALUE 462
stage3 穴を越えてゴールへ	REASON hole ACTION move VALUE 79 ACTION jump VALUE 104 ACTION move VALUE 140
stage2 120移動して50ジャンプ、79移動して47ジャンプ、147移動	REASON stone ACTION move VALUE 120 ACTION jump VALUE 50 ACTION move VALUE 79 ACTION jump VALUE 47 ACTION move VALUE 147
stage3 205歩進んで167高さで穴を越えて427歩ゴールへ	REASON hole ACTION move VALUE 205 ACTION jump VALUE 167 ACTION move VALUE 427
stage2 2回ジャンプして進んで	REASON stone ACTION move VALUE 50 ACTION jump VALUE 27 ACTION move VALUE 129 ACTION jump VALUE 6 ACTION move VALUE 235
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 41 ACTION jump VALUE 57 ACTION move VALUE 84
stage3 192歩走って226歩進む	REASON hole ACTION move VALUE 192 ACTION move VALUE 226
stage3 207進んで高さ163でジャンプして388進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 163 ACTION move VALUE 388
stage2 2つの石をジャンプして越えて	REASON stone ACTION move VALUE 54 ACTION jump VALUE 44 ACTION move VALUE 157 ACTION jump VALUE 9 ACTION move VALUE 212
stage2 両方の岩を越えて	REASON stone ACTION move VALUE 239 ACTION jump VALUE 1 ACTION move VALUE 166 ACTION jump VALUE 36 ACTION move VALUE 155
stage3 穴の手前まで205進んで13の高さでジャンプして向こうまで439進んで	REASON hole ACTION move VALUE 205 ACTION jump VALUE 13 ACTION move VALUE 439
stage1 1個の岩を238進んで117ジャンプして437進んで越える	REASON stone ACTION move VALUE 238 ACTION jump VALUE 117 ACTION move VALUE 437
stage1 少し走ってから跳んで	REASON stone ACTION move VALUE 49 ACTION jump VALUE 10 ACTION move VALUE 68
stage2 1つ目の岩まで149進んで87でジャンプ、2つ目まで23進んで60でジャンプして294進んで	REASON stone ACTION move VALUE 149 ACTION jump VALUE 87 ACTION move VALUE 23 ACTION jump VALUE 60 ACTION move VALUE 294
stage3 209移動して53移動	REASON hole ACTION move VALUE 209 ACTION move VALUE 53
stage2 111歩進んで高さ143でジャンプ、59進んで100でジャンプして118進む	REASON stone ACTION move VALUE 111 ACTION jump VALUE 143 ACTION move VALUE 59 ACTION jump VALUE 100 ACTION move VALUE 118
stage3 207歩走って179歩進む	REASON hole ACTION move VALUE 207 ACTION move VALUE 179
stage1 まず242進んで、129でジャンプして、その後366進んで	REASON stone ACTION move VALUE 242 ACTION jump VALUE 129 ACTION move VALUE 366
stage1 238進んで52の高さでジャンプして429歩すすむ	REASON stone ACTION move VALUE 238 ACTION jump VALUE 52 ACTION move VALUE 429
stage2 岩を2回越えて	REASON stone ACTION move VALUE 63 ACTION jump VALUE 20 ACTION move VALUE 33 ACTION jump VALUE 14 ACTION move VALUE 289
stage3 204進んで58でしっかりジャンプしてから464進んでゴール	REASON hole ACTION move VALUE 204 ACTION jump VALUE 58 ACTION move VALUE 464
stage2 104歩進んで高さ125でジャンプ、続けて52進んで179でジャンプして343進む	REASON stone ACTION move VALUE 104 ACTION jump VALUE 125 ACTION move VALUE 52 ACTION jump VALUE 179 ACTION move VALUE 343
stage3 穴の手前まで207進んで10の高さでジャンプして向こうまで447進んで	REASON hole ACTION move VALUE 207 ACTION jump VALUE 10 ACTION move VALUE 447
stage3 205進んで145ジャンプしてから382進んで	REASON hole ACTION move VALUE 205 ACTION jump VALUE 145 ACTION move VALUE 382
stage1 281歩進んで高さ123でジャンプして216進む	REASON stone ACTION move VALUE 281 ACTION jump VALUE 123 ACTION move VALUE 216
stage2 127歩進んで高さ73でジャンプ、続けて37進んで165でジャンプして310進む	REASON stone ACTION move VALUE 127 ACTION jump VALUE 73 ACTION move VALUE 37 ACTION jump VALUE 165 ACTION move VALUE 310
stage2 148歩走って164高さで跳んで19歩進んで111高さで跳んで302歩ゴール	REASON stone ACTION move VALUE 148 ACTION jump VALUE 164 ACTION move VALUE 19 ACTION jump VALUE 111 ACTION move VALUE 302
stage1 速く走って高くジャンプして	REASON stone ACTION move VALUE 379 ACTION jump VALUE 16 ACTION move VALUE 101
stage1 岩の手前まで248進んで158ジャンプして359歩ゴールまで	REASON stone ACTION move VALUE 248 ACTION jump VALUE 158 ACTION move VALUE 359
stage1 スタートから245進んで高さ62でジャンプして349進んでゴール	REASON stone ACTION move VALUE 245 ACTION jump VALUE 62 ACTION move VALUE 349
stage3 209進んで44でしっかりジャンプしてから386進んでゴール	REASON hole ACTION move VALUE 209 ACTION jump VALUE 44 ACTION move VALUE 386
stage1 スタートから249進んで高さ155でジャンプして334進んでゴール	REASON stone ACTION move VALUE 249 ACTION jump VALUE 155 ACTION move VALUE 334
stage1 1個の岩を249進んで113ジャンプして405進んで越える	REASON stone ACTION move VALUE 249 ACTION jump VALUE 113 ACTION move VALUE 405
stage2 最初に121進んで86ジャンプ、次49進んで131ジャンプ、最後304進む	REASON stone ACTION move VALUE 121 ACTION jump VALUE 86 ACTION move VALUE 49 ACTION jump VALUE 131 ACTION move VALUE 304
stage1 234進んで78ジャンプして218進む	REASON stone ACTION move VALUE 234 ACTION jump VALUE 78 ACTION move VALUE 218
stage2 141歩進んで高さ103でジャンプ、続けて58進んで156でジャンプして310進む	REASON stone ACTION move VALUE 141 ACTION jump VALUE 103 ACTION move VALUE 58 ACTION jump VALUE 156 ACTION move VALUE 310
stage2 148進んで98の力でジャンプ、23進んで141の力でジャンプして265進んで	REASON stone ACTION move VALUE 148 ACTION jump VALUE 98 ACTION move VALUE 23 ACTION jump VALUE 141 ACTION move VALUE 265
stage1 ちょうど236進んでから68でジャンプして402進んでね	REASON stone ACTION move VALUE 236 ACTION jump VALUE 68 ACTION move VALUE 402
stage3 270歩進んで41の高さでジャンプして113歩	REASON hole ACTION move VALUE 270 ACTION jump VALUE 41 ACTION move VALUE 113
stage3 203進んで高さ179でジャンプして469進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 179 ACTION move VALUE 469
stage1 221歩進んで高さ68でジャンプして449進む	REASON stone ACTION move VALUE 221 ACTION jump VALUE 68 ACTION move VALUE 449
stage3 大きな穴を飛び越えて	REASON hole ACTION move VALUE 47 ACTION jump VALUE 28 ACTION move VALUE 95
stage3 207歩進んで42の高さで穴を跳び越えて466歩進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 42 ACTION move VALUE 466
stage1 高くジャンプして石を越えてゴール	REASON stone ACTION move VALUE 297 ACTION jump VALUE 4 ACTION move VALUE 116
stage1 ちょうど237進んでから129でジャンプして428進んでね	REASON stone ACTION move VALUE 237 ACTION jump VALUE 129 ACTION move VALUE 428
stage1 101進んで96ジャンプして399進む	REASON stone ACTION move VALUE 101 ACTION jump VALUE 96 ACTION move VALUE 399
stage1 144歩進んで高さ142でジャンプして362進む	REASON stone ACTION move VALUE 144 ACTION jump VALUE 142 ACTION move VALUE 362
stage3 205歩進んで30の高さで穴を跳び越えて475歩進む	REASON hole ACTION move VALUE 205 ACTION jump VALUE 30 ACTION move VALUE 475
stage2 128進んで94の力でジャンプ、67進んで163の力でジャンプして246進んで	REASON stone ACTION move VALUE 128 ACTION jump VALUE 94 ACTION move VALUE 67 ACTION jump VALUE 163 ACTION move VALUE 246
stage1 241歩進んで高さ174でジャンプして277進む	REASON stone ACTION move VALUE 241 ACTION jump VALUE 174 ACTION move VALUE 277
stage3 203歩進んで122高さで穴を越えて452歩ゴールへ	REASON hole ACTION move VALUE 203 ACTION jump VALUE 122 ACTION move VALUE 452
stage1 242歩走って高さ118でとんで436歩進む	REASON stone ACTION move VALUE 242 ACTION jump VALUE 118 ACTION move VALUE 436
stage3 穴の手前まで203進んで43の高さでジャンプして向こうまで404進んで	REASON hole ACTION move VALUE 203 ACTION jump VALUE 43 ACTION move VALUE 404
